"","estimator","estimate","r","n"
"1","LS",0.632564851042766,-0.99,2000
"2","PS",0.12976261832483,-0.99,2000
"3","HML",1.06329516452975,-0.99,2000
"4","LS",0.621164144935489,-0.99,2000
"5","PS",0.0381488262270741,-0.99,2000
"6","HML",0.94028060529032,-0.99,2000
"7","LS",0.570885662555378,-0.99,2000
"8","PS",0.0851264828173366,-0.99,2000
"9","HML",1.02083058384005,-0.99,2000
"10","LS",0.621256273820687,-0.99,2000
"11","PS",0.382691200953551,-0.99,2000
"12","HML",1.02478594661316,-0.99,2000
"13","LS",0.682698512819707,-0.99,2000
"14","PS",0.489055133214164,-0.99,2000
"15","HML",0.987027351935718,-0.99,2000
"16","LS",0.57381119498372,-0.99,2000
"17","PS",0.134111698707957,-0.99,2000
"18","HML",0.928934072403595,-0.99,2000
"19","LS",0.581375063673062,-0.99,2000
"20","PS",0.0382623946648399,-0.99,2000
"21","HML",0.930373347588927,-0.99,2000
"22","LS",0.589162900605096,-0.99,2000
"23","PS",0.169529622928998,-0.99,2000
"24","HML",0.930756107527945,-0.99,2000
"25","LS",0.597400371467375,-0.99,2000
"26","PS",-0.111381469403505,-0.99,2000
"27","HML",1.05986575398436,-0.99,2000
"28","LS",0.615004089035006,-0.99,2000
"29","PS",-0.322503221940861,-0.99,2000
"30","HML",1.08282851591901,-0.99,2000
"31","LS",0.570982462322035,-0.99,2000
"32","PS",-0.330384973027705,-0.99,2000
"33","HML",0.994166553020994,-0.99,2000
"34","LS",0.610355927062386,-0.99,2000
"35","PS",0.0737774398055649,-0.99,2000
"36","HML",1.02408989138425,-0.99,2000
"37","LS",0.539489532481294,-0.99,2000
"38","PS",-0.222341964496824,-0.99,2000
"39","HML",0.815936318583224,-0.99,2000
"40","LS",0.633708133964689,-0.99,2000
"41","PS",-0.151118729307069,-0.99,2000
"42","HML",0.996376166421499,-0.99,2000
"43","LS",0.601871196428952,-0.99,2000
"44","PS",0.128408440172745,-0.99,2000
"45","HML",0.876279242640756,-0.99,2000
"46","LS",0.5757728288786,-0.99,2000
"47","PS",-0.19473274311194,-0.99,2000
"48","HML",1.05794912082175,-0.99,2000
"49","LS",0.611169825490589,-0.99,2000
"50","PS",0.507874685535067,-0.99,2000
